Fecha,Estado,Horario,Centena,Fijo,Corrido_1,Corrido_2
2024-01-01,TN,Morning,2,99,24,96
2024-01-01,GA,Midday,6,88,91,4
2024-01-01,NJ,Midday,4,36,45,99
2024-01-01,TN,Midday,1,33,16,5
2024-01-01,FL,Midday,2,91,92,22
2024-01-01,NY,Midday,6,54,66,58
2024-01-01,GA,Evening,9,90,58,65
2024-01-01,TN,Evening,8,10,72,99
2024-01-01,FL,Evening,3,38,97,55
2024-01-01,NY,Evening,8,8,50,62
2024-01-01,NJ,Evening,2,65,16,49
2024-01-01,GA,Night,3,43,56,98
2024-01-02,TN,Morning,5,92,29,21
2024-01-02,GA,Midday,2,16,72,48
2024-01-02,NJ,Midday,1,94,73,29
2024-01-02,TN,Midday,6,20,17,57
2024-01-02,FL,Midday,5,56,50,86
2024-01-02,NY,Midday,1,2,48,6
2024-01-02,GA,Evening,3,74,22,57
2024-01-02,TN,Evening,6,86,44,45
2024-01-02,NY,Evening,1,32,88,21
2024-01-02,NJ,Evening,1,85,42,22
2024-01-02,GA,Night,8,67,37,44
2024-01-03,TN,Morning,0,57,19,70
2024-01-03,GA,Midday,4,81,26,11
2024-01-03,NJ,Midday,7,59,7,16
2024-01-03,TN,Midday,4,36,49,17
2024-01-03,FL,Midday,8,63,94,22
2024-01-03,NY,Midday,7,24,23,56
2024-01-03,GA,Evening,6,47,47,17
2024-01-03,TN,Evening,4,48,19,23
2024-01-03,FL,Evening,9,85,72,71
2024-01-03,NY,Evening,1,80,86,79
2024-01-03,NJ,Evening,0,51,33,47
2024-01-03,GA,Night,8,24,6,36
2024-01-04,TN,Morning,3,91,37,6
2024-01-04,GA,Midday,8,24,67,71
2024-01-04,NJ,Midday,4,26,69,3
2024-01-04,TN,Midday,0,5,53,66
2024-01-04,FL,Midday,8,23,87,18
2024-01-04,NY,Midday,8,89,98,91
2024-01-04,GA,Evening,0,49,5,93
2024-01-04,TN,Evening,8,36,19,9
2024-01-04,NY,Evening,9,23,45,70
2024-01-04,NJ,Evening,4,16,24,71
2024-01-04,GA,Night,7,38,72,27
2024-01-05,TN,Morning,7,62,79,55
2024-01-05,GA,Midday,9,8,3,48
2024-01-05,NJ,Midday,7,70,30,24
2024-01-05,TN,Midday,4,56,64,50
2024-01-05,FL,Midday,1,53,73,11
2024-01-05,NY,Midday,3,90,97,27
2024-01-05,GA,Evening,3,41,57,0
2024-01-05,TN,Evening,4,27,37,19
2024-01-05,FL,Evening,1,99,97,10
2024-01-05,NY,Evening,3,28,73,83
2024-01-05,NJ,Evening,0,99,94,2
2024-01-05,GA,Night,8,48,39,17
2024-01-06,TN,Morning,8,91,43,33
2024-01-06,GA,Midday,7,14,37,85
2024-01-06,NJ,Midday,1,82,85,27
2024-01-06,TN,Midday,0,21,96,66
2024-01-06,FL,Midday,0,85,46,49
2024-01-06,NY,Midday,7,81,86,51
2024-01-06,GA,Evening,4,55,26,17
2024-01-06,NY,Evening,5,1,86,3
2024-01-06,NJ,Evening,8,48,20,59
2024-01-06,GA,Night,2,35,58,23
2024-01-07,GA,Midday,0,95,40,22
2024-01-07,NJ,Midday,2,90,20,50
2024-01-07,FL,Midday,7,72,82,64
2024-01-07,NY,Midday,2,15,52,31
2024-01-07,GA,Evening,4,53,10,89
2024-01-07,TN,Evening,7,27,89,86
2024-01-07,FL,Evening,6,54,32,36
2024-01-07,NY,Evening,2,27,54,6
2024-01-07,NJ,Evening,5,17,59,48
2024-01-07,GA,Night,6,82,36,1
2024-01-08,TN,Morning,5,80,95,82
2024-01-08,GA,Midday,0,90,73,90
2024-01-08,NJ,Midday,5,30,89,32
2024-01-08,TN,Midday,6,90,89,36
2024-01-08,FL,Midday,2,1,80,62
2024-01-08,NY,Midday,2,32,3,72
2024-01-08,GA,Evening,4,65,12,78
2024-01-08,TN,Evening,1,34,61,80
2024-01-08,NY,Evening,7,66,52,71
2024-01-08,NJ,Evening,6,45,7,27
2024-01-08,GA,Night,2,74,86,96
2024-01-09,TN,Morning,9,40,46,60
2024-01-09,GA,Midday,6,76,72,86
2024-01-09,NJ,Midday,7,25,93,37
2024-01-09,TN,Midday,7,59,69,12
2024-01-09,FL,Midday,8,76,70,71
2024-01-09,NY,Midday,7,63,59,61
2024-01-09,GA,Evening,6,22,69,58
2024-01-09,TN,Evening,3,85,76,28
2024-01-09,FL,Evening,6,66,95,0
2024-01-09,NY,Evening,0,24,49,82
2024-01-09,NJ,Evening,8,24,77,81
2024-01-09,GA,Night,7,75,20,1
2024-01-10,TN,Morning,1,23,88,55
2024-01-10,GA,Midday,2,83,83,58
2024-01-10,NJ,Midday,2,77,65,67
2024-01-10,TN,Midday,4,27,24,34
2024-01-10,FL,Midday,2,69,5,15
2024-01-10,NY,Midday,5,95,66,37
2024-01-10,GA,Evening,6,64,61,90
2024-01-10,TN,Evening,0,86,64,83
2024-01-10,NY,Evening,9,57,10,45
2024-01-10,NJ,Evening,5,48,51,8
2024-01-10,GA,Night,2,87,76,33
2024-01-11,TN,Morning,8,72,10,6
2024-01-11,GA,Midday,3,69,12,59
2024-01-11,NJ,Midday,3,64,78,67
2024-01-11,TN,Midday,9,11,88,81
2024-01-11,FL,Midday,8,21,76,22
2024-01-11,NY,Midday,6,41,13,90
2024-01-11,GA,Evening,5,12,1,24
2024-01-11,TN,Evening,3,11,23,41
2024-01-11,FL,Evening,9,31,47,39
2024-01-11,NY,Evening,4,76,70,23
2024-01-11,NJ,Evening,8,65,76,3
2024-01-11,GA,Night,6,2,0,95
2024-01-12,TN,Morning,7,91,50,57
2024-01-12,GA,Midday,1,26,42,70
2024-01-12,NJ,Midday,6,6,74,72
2024-01-12,TN,Midday,3,42,6,9
2024-01-12,FL,Midday,5,49,10,95
2024-01-12,NY,Midday,1,87,54,28
2024-01-12,GA,Evening,9,52,39,96
2024-01-12,TN,Evening,1,21,56,43
2024-01-12,NY,Evening,7,42,41,41
2024-01-12,NJ,Evening,3,12,72,62
2024-01-12,GA,Night,6,27,79,56
2024-01-13,TN,Morning,1,12,22,89
2024-01-13,GA,Midday,6,28,84,28
2024-01-13,NJ,Midday,8,27,27,83
2024-01-13,TN,Midday,5,71,93,63
2024-01-13,FL,Midday,1,36,58,74
2024-01-13,NY,Midday,3,47,22,59
2024-01-13,GA,Evening,1,7,36,55
2024-01-13,FL,Evening,6,3,58,96
2024-01-13,NY,Evening,5,31,11,81
2024-01-13,NJ,Evening,3,77,74,66
2024-01-13,GA,Night,4,5,14,40
2024-01-14,GA,Midday,5,94,52,91
2024-01-14,NJ,Midday,4,14,32,20
